title,author,edition,url,book_name,download_url
"Of Cigarettes, High Heels, and Other Interesting Things",Marcel Danesi,3rd ed.2018,http://link.springer.com/openurl?genre=book&isbn=978-1-349-95348-6,"Of_Cigarettes,_High_Heels,_and_Other_Interesting_Things",https://link.springer.com//content/pdf/10.1057%2F978-1-349-95348-6.pdf
Applied Bioinformatics,"Paul M. Selzer, Richard J. Marhöfer,Oliver Koch",2nd ed.2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-68301-0,Applied_Bioinformatics,https://link.springer.com//content/pdf/10.1007%2F978-3-319-68301-0.pdf
Linear Algebra and Analytic Geometry for Physical Sciences,"Giovanni Landi, Alessandro Zampini",1st ed.2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-78361-1,Linear_Algebra_and_Analytic_Geometry_for_Physical_Sciences,https://link.springer.com//content/pdf/10.1007%2F978-3-319-78361-1.pdf
Building Energy Modeling with OpenStudio,"Larry Brackney, Andrew Parker,Daniel Macumber, Kyle Benne",1st ed.2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-77809-9,Building_Energy_Modeling_with_OpenStudio,https://link.springer.com//content/pdf/10.1007%2F978-3-319-77809-9.pdf
Customer Relationship Management,"V. Kumar, Werner Reinartz",3rd ed.2018,http://link.springer.com/openurl?genre=book&isbn=978-3-662-55381-7,Customer_Relationship_Management,https://link.springer.com//content/pdf/10.1007%2F978-3-662-55381-7.pdf
The A-Z of the PhD Trajectory,Eva O. L. Lantsoght,1st ed.2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-77425-1,The_A-Z_of_the_PhD_Trajectory,https://link.springer.com//content/pdf/10.1007%2F978-3-319-77425-1.pdf
Strategic Human Resource Management and Employment Relations,Ashish Malik,1st ed.2018,http://link.springer.com/openurl?genre=book&isbn=978-981-13-0399-9,Strategic_Human_Resource_Management_and_Employment_Relations,https://link.springer.com//content/pdf/10.1007%2F978-981-13-0399-9.pdf
Applied Linear Algebra,"Peter J. Olver, Chehrzad Shakiban",2nd ed.2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-91041-3,Applied_Linear_Algebra,https://link.springer.com//content/pdf/10.1007%2F978-3-319-91041-3.pdf
Witnessing Torture,"Alexandra S. Moore, ElizabethSwanson",1st ed.2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-74965-5,Witnessing_Torture,https://link.springer.com//content/pdf/10.1007%2F978-3-319-74965-5.pdf
Proofs from THE BOOK,"Martin Aigner, Günter M. Ziegler",6th ed.2018,http://link.springer.com/openurl?genre=book&isbn=978-3-662-57265-8,Proofs_from_THE_BOOK,https://link.springer.com//content/pdf/10.1007%2F978-3-662-57265-8.pdf
Introduction to General Relativity,Cosimo Bambi,1st ed.2018,http://link.springer.com/openurl?genre=book&isbn=978-981-13-1090-4,Introduction_to_General_Relativity,https://link.springer.com//content/pdf/10.1007%2F978-981-13-1090-4.pdf
Introduction to Particle and Astroparticle Physics,"Alessandro De Angelis, Mário Pimenta",2nd ed.2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-78181-5,Introduction_to_Particle_and_Astroparticle_Physics,https://link.springer.com//content/pdf/10.1007%2F978-3-319-78181-5.pdf
Fundamentals of Java Programming,Mitsunori Ogihara,1st ed.2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-89491-1,Fundamentals_of_Java_Programming,https://link.springer.com//content/pdf/10.1007%2F978-3-319-89491-1.pdf
Optimization of Process Flowsheets through Metaheuristic Techniques,"José María Ponce-Ortega, LuisGMeartmjaážn M Hiheernljá, nTdadeze-jP Béarjedz, Aleš Ude,",1st ed.2019,http://link.springer.com/openurl?genre=book&isbn=978-3-319-91722-1,Optimization_of_Process_Flowsheets_through_Metaheuristic_Techniques,https://link.springer.com//content/pdf/10.1007%2F978-3-319-91722-1.pdf
Robotics,"Jadran Lenarčič, Aleš Stanovnik,Marko Munih, Jure Rejc, Sebastjan",2nd ed.2019,http://link.springer.com/openurl?genre=book&isbn=978-3-319-72911-4,Robotics,https://link.springer.com//content/pdf/10.1007%2F978-3-319-72911-4.pdf
Business Ethics - A Philosophical and Behavioral Approach,Christian A. Conrad,1st ed.2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-91575-3,Business_Ethics_-_A_Philosophical_and_Behavioral_Approach,https://link.springer.com//content/pdf/10.1007%2F978-3-319-91575-3.pdf
A First Introduction to Quantum Physics,Pieter Kok,1st ed.2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-92207-2,A_First_Introduction_to_Quantum_Physics,https://link.springer.com//content/pdf/10.1007%2F978-3-319-92207-2.pdf
Abstract Algebra,Gregory T. Lee,1st ed.2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-77649-1,Abstract_Algebra,https://link.springer.com//content/pdf/10.1007%2F978-3-319-77649-1.pdf
Logical Foundations of Cyber-Physical Systems,André Platzer,1st ed.2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-63588-0,Logical_Foundations_of_Cyber-Physical_Systems,https://link.springer.com//content/pdf/10.1007%2F978-3-319-63588-0.pdf
Off-Grid Electrical Systems in Developing Countries,Henry Louie,1st ed.2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-91890-7,Off-Grid_Electrical_Systems_in_Developing_Countries,https://link.springer.com//content/pdf/10.1007%2F978-3-319-91890-7.pdf
Entertainment Science,"Thorsten Hennig-Thurau, Mark B.Houston",1st ed.2019,http://link.springer.com/openurl?genre=book&isbn=978-3-319-89292-4,Entertainment_Science,https://link.springer.com//content/pdf/10.1007%2F978-3-319-89292-4.pdf
Physics of Oscillations and Waves,Arnt Inge Vistnes,1st ed.2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-72314-3,Physics_of_Oscillations_and_Waves,https://link.springer.com//content/pdf/10.1007%2F978-3-319-72314-3.pdf
Introduction to Programming with Fortran,"Ian Chivers, Jane Sleightholme",4th ed.2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-75502-1,Introduction_to_Programming_with_Fortran,https://link.springer.com//content/pdf/10.1007%2F978-3-319-75502-1.pdf
Fundamentals of Solid State Engineering,Manijeh Razeghi,4th ed.2019,http://link.springer.com/openurl?genre=book&isbn=978-3-319-75708-7,Fundamentals_of_Solid_State_Engineering,https://link.springer.com//content/pdf/10.1007%2F978-3-319-75708-7.pdf
Introduction to Digital Systems Design,"Giuliano Donzellini, Luca Oneto,Domenico Ponta, Davide Anguita",1st ed.2019,http://link.springer.com/openurl?genre=book&isbn=978-3-319-92804-3,Introduction_to_Digital_Systems_Design,https://link.springer.com//content/pdf/10.1007%2F978-3-319-92804-3.pdf
Neural Networks and Deep Learning,Charu C. Aggarwal,1st ed.2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-94463-0,Neural_Networks_and_Deep_Learning,https://link.springer.com//content/pdf/10.1007%2F978-3-319-94463-0.pdf
Data Science and Predictive Analytics,Ivo D. Dinov,1st ed.2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-72347-1,Data_Science_and_Predictive_Analytics,https://link.springer.com//content/pdf/10.1007%2F978-3-319-72347-1.pdf
Systems Programming in Unix/Linux,K.C. Wang,1st ed.2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-92429-8,Systems_Programming_in_Unix_Linux,https://link.springer.com//content/pdf/10.1007%2F978-3-319-92429-8.pdf
Analytical Corporate Finance,Angelo Corelli,2nd ed.2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-95762-3,Analytical_Corporate_Finance,https://link.springer.com//content/pdf/10.1007%2F978-3-319-95762-3.pdf
Fraud and Corruption,"Peter C. Kratcoski, MaximilianEdelbacher",1st ed.2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-92333-8,Fraud_and_Corruption,https://link.springer.com//content/pdf/10.1007%2F978-3-319-92333-8.pdf
Conferencing and Presentation English for Young Academics,Michael Guest,1st ed.2018,http://link.springer.com/openurl?genre=book&isbn=978-981-13-2475-8,Conferencing_and_Presentation_English_for_Young_Academics,https://link.springer.com//content/pdf/10.1007%2F978-981-13-2475-8.pdf
A Concise Guide to Market Research,"Marko Sarstedt, Erik Mooi",3rd ed.2019,http://link.springer.com/openurl?genre=book&isbn=978-3-662-56707-4,A_Concise_Guide_to_Market_Research,https://link.springer.com//content/pdf/10.1007%2F978-3-662-56707-4.pdf
Global Supply Chain and Operations Management,"Dmitry Ivanov, AlexanderTsipoulanidis, Jörn Schönberger",2nd ed.2019,http://link.springer.com/openurl?genre=book&isbn=978-3-319-94313-8,Global_Supply_Chain_and_Operations_Management,https://link.springer.com//content/pdf/10.1007%2F978-3-319-94313-8.pdf
Introduction to Parallel Computing,"Roman Trobec, Boštjan Slivnik,Patricio Bulić, Borut Robič",1st ed.2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-98833-7,Introduction_to_Parallel_Computing,https://link.springer.com//content/pdf/10.1007%2F978-3-319-98833-7.pdf
Mathematical Logic,Roman Kossak,1st ed.2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-97298-5,Mathematical_Logic,https://link.springer.com//content/pdf/10.1007%2F978-3-319-97298-5.pdf
Stability and Control of Linear Systems,Andrea Bacciotti,1st ed.2019,http://link.springer.com/openurl?genre=book&isbn=978-3-030-02405-5,Stability_and_Control_of_Linear_Systems,https://link.springer.com//content/pdf/10.1007%2F978-3-030-02405-5.pdf
Introduction to Formal Philosophy,"Sven Ove Hansson, Vincent F.Hendricks",1st ed.2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-77434-3,Introduction_to_Formal_Philosophy,https://link.springer.com//content/pdf/10.1007%2F978-3-319-77434-3.pdf
Argumentation Theory: A Pragma-Dialectical Perspective,Frans H. van Eemeren,1st ed.2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-95381-6,Argumentation_Theory:_A_Pragma-Dialectical_Perspective,https://link.springer.com//content/pdf/10.1007%2F978-3-319-95381-6.pdf
International Business Management,"Kamal Fatehi, Jeongho Choi",2nd ed.2019,http://link.springer.com/openurl?genre=book&isbn=978-3-319-96622-9,International_Business_Management,https://link.springer.com//content/pdf/10.1007%2F978-3-319-96622-9.pdf
Research Methods for the Digital Humanities,"lewis levenberg, Tai Neilson, DavidRheams",1st ed.2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-96713-4,Research_Methods_for_the_Digital_Humanities,https://link.springer.com//content/pdf/10.1007%2F978-3-319-96713-4.pdf
Introductory Computer Forensics,Xiaodong Lin,1st ed.2018,http://link.springer.com/openurl?genre=book&isbn=978-3-030-00581-8,Introductory_Computer_Forensics,https://link.springer.com//content/pdf/10.1007%2F978-3-030-00581-8.pdf
Control Engineering,"László Keviczky, Ruth Bars, JenőHetthéssy, Csilla Bányász",1st ed.2019,http://link.springer.com/openurl?genre=book&isbn=978-981-10-8297-9,Control_Engineering,https://link.springer.com//content/pdf/10.1007%2F978-981-10-8297-9.pdf
Control Engineering: MATLAB Exercises,"László Keviczky, Ruth Bars, JenőHetthéssy, Csilla Bányász",1st ed.2019,http://link.springer.com/openurl?genre=book&isbn=978-981-10-8321-1,Control_Engineering:_MATLAB_Exercises,https://link.springer.com//content/pdf/10.1007%2F978-981-10-8321-1.pdf
"ENZYMES: Catalysis, Kinetics and Mechanisms",N.S. Punekar,1st ed.2018,http://link.springer.com/openurl?genre=book&isbn=978-981-13-0785-0,"ENZYMES:_Catalysis,_Kinetics_and_Mechanisms",https://link.springer.com//content/pdf/10.1007%2F978-981-13-0785-0.pdf
Automatic Control with Experiments,"Victor Manuel Hernández-Guzmán,Ramón Silva-Ortigoza",1st ed.2019,http://link.springer.com/openurl?genre=book&isbn=978-3-319-75804-6,Automatic_Control_with_Experiments,https://link.springer.com//content/pdf/10.1007%2F978-3-319-75804-6.pdf
Internet of Things From Hype to Reality,"Ammar Rayes, Samer Salam",2nd ed.2019,http://link.springer.com/openurl?genre=book&isbn=978-3-319-99516-8,Internet_of_Things_From_Hype_to_Reality,https://link.springer.com//content/pdf/10.1007%2F978-3-319-99516-8.pdf
Quantitative Methods for the Social Sciences,Daniel Stockemer,1st ed.2019,http://link.springer.com/openurl?genre=book&isbn=978-3-319-99118-4,Quantitative_Methods_for_the_Social_Sciences,https://link.springer.com//content/pdf/10.1007%2F978-3-319-99118-4.pdf
A Pythagorean Introduction to Number Theory,Ramin Takloo-Bighash,1st ed.2018,http://link.springer.com/openurl?genre=book&isbn=978-3-030-02604-2,A_Pythagorean_Introduction_to_Number_Theory,https://link.springer.com//content/pdf/10.1007%2F978-3-030-02604-2.pdf
Philosophical and Mathematical Logic,Harrie de Swart,1st ed.2018,http://link.springer.com/openurl?genre=book&isbn=978-3-030-03255-5,Philosophical_and_Mathematical_Logic,https://link.springer.com//content/pdf/10.1007%2F978-3-030-03255-5.pdf
Structural Dynamics,"Mario Paz, Young Hoon Kim",6th ed.2019,http://link.springer.com/openurl?genre=book&isbn=978-3-319-94743-3,Structural_Dynamics,https://link.springer.com//content/pdf/10.1007%2F978-3-319-94743-3.pdf
"Plant Physiology, Development and Metabolism","Satish C Bhatla, Manju A. Lal",1st ed.2018,http://link.springer.com/openurl?genre=book&isbn=978-981-13-2023-1,"Plant_Physiology,_Development_and_Metabolism",https://link.springer.com//content/pdf/10.1007%2F978-981-13-2023-1.pdf
Quantum Mechanics for Pedestrians 1,Jochen Pade,2nd ed.2018,http://link.springer.com/openurl?genre=book&isbn=978-3-030-00464-4,Quantum_Mechanics_for_Pedestrians_1,https://link.springer.com//content/pdf/10.1007%2F978-3-030-00464-4.pdf
Plant Anatomy,"Richard Crang, Sheila Lyons-Sobaski,Robert Wise",1st ed.2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-77315-5,Plant_Anatomy,https://link.springer.com//content/pdf/10.1007%2F978-3-319-77315-5.pdf
Quantum Mechanics for Pedestrians 2,Jochen Pade,2nd ed.2018,http://link.springer.com/openurl?genre=book&isbn=978-3-030-00467-5,Quantum_Mechanics_for_Pedestrians_2,https://link.springer.com//content/pdf/10.1007%2F978-3-030-00467-5.pdf
Excel Data Analysis,Hector Guerrero,2nd ed.2019,http://link.springer.com/openurl?genre=book&isbn=978-3-030-01279-3,Excel_Data_Analysis,https://link.springer.com//content/pdf/10.1007%2F978-3-030-01279-3.pdf
Quick Start Guide to VHDL,Brock J. LaMeres,1st ed.2019,http://link.springer.com/openurl?genre=book&isbn=978-3-030-04516-6,Quick_Start_Guide_to_VHDL,https://link.springer.com//content/pdf/10.1007%2F978-3-030-04516-6.pdf
Java in Two Semesters,"Quentin Charatan, Aaron Kans",4th ed.2019,http://link.springer.com/openurl?genre=book&isbn=978-3-319-99420-8,Java_in_Two_Semesters,https://link.springer.com//content/pdf/10.1007%2F978-3-319-99420-8.pdf
Analysis for Computer Scientists,"Michael Oberguggenberger,Alexander Ostermann",2nd ed.2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-91155-7,Analysis_for_Computer_Scientists,https://link.springer.com//content/pdf/10.1007%2F978-3-319-91155-7.pdf
Media and Digital Management,Eli M. Noam,1st ed.2019,http://link.springer.com/openurl?genre=book&isbn=978-3-319-72000-5,Media_and_Digital_Management,https://link.springer.com//content/pdf/10.1007%2F978-3-319-72000-5.pdf
"An Anthology of London in Literature, 1558-1914","Geoffrey G. Hiller, Peter L. Groves,Alan F. Dilnot",1st ed.2019,http://link.springer.com/openurl?genre=book&isbn=978-3-030-05609-4,"An_Anthology_of_London_in_Literature,_1558-1914",https://link.springer.com//content/pdf/10.1007%2F978-3-030-05609-4.pdf
Astronautics,Ulrich Walter,3rd ed.2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-74373-8,Astronautics,https://link.springer.com//content/pdf/10.1007%2F978-3-319-74373-8.pdf
Perceptual Organization,Stephen Handel,1st ed.2019,http://link.springer.com/openurl?genre=book&isbn=978-3-319-96337-2,Perceptual_Organization,https://link.springer.com//content/pdf/10.1007%2F978-3-319-96337-2.pdf
Research Methods for Social Justice and Equity in Education,"Kamden K. Strunk, Leslie Ann Locke",1st ed.2019,http://link.springer.com/openurl?genre=book&isbn=978-3-030-05900-2,Research_Methods_for_Social_Justice_and_Equity_in_Education,https://link.springer.com//content/pdf/10.1007%2F978-3-030-05900-2.pdf
Educational Technology,"Ronghuai Huang, J. Michael Spector,Junfeng Yang",1st ed.2019,http://link.springer.com/openurl?genre=book&isbn=978-981-13-6643-7,Educational_Technology,https://link.springer.com//content/pdf/10.1007%2F978-981-13-6643-7.pdf
Quick Start Guide to Verilog,Brock J. LaMeres,1st ed.2019,http://link.springer.com/openurl?genre=book&isbn=978-3-030-10552-5,Quick_Start_Guide_to_Verilog,https://link.springer.com//content/pdf/10.1007%2F978-3-030-10552-5.pdf
Spine Surgery,"Bernhard Meyer, MichaelRauschmann",1st ed.2019,http://link.springer.com/openurl?genre=book&isbn=978-3-319-98875-7,Spine_Surgery,https://link.springer.com//content/pdf/10.1007%2F978-3-319-98875-7.pdf
Introduction to Logic Circuits & Logic Design with VHDL,Brock J. LaMeres,2nd ed.2019,http://link.springer.com/openurl?genre=book&isbn=978-3-030-12489-2,Introduction_to_Logic_Circuits_&_Logic_Design_with_VHDL,https://link.springer.com//content/pdf/10.1007%2F978-3-030-12489-2.pdf
Social Justice Theory and Practice for Social Work,"Lynelle Watts, David Hodgson",1st ed.2019,http://link.springer.com/openurl?genre=book&isbn=978-981-13-3621-8,Social_Justice_Theory_and_Practice_for_Social_Work,https://link.springer.com//content/pdf/10.1007%2F978-981-13-3621-8.pdf
School Leadership and Educational Change in Singapore,"Benjamin Wong, Salleh Hairon, PakTee Ng",1st ed.2019,http://link.springer.com/openurl?genre=book&isbn=978-3-319-74746-0,School_Leadership_and_Educational_Change_in_Singapore,https://link.springer.com//content/pdf/10.1007%2F978-3-319-74746-0.pdf
Digital Business Models,Bernd W. Wirtz,1st ed.2019,http://link.springer.com/openurl?genre=book&isbn=978-3-030-13005-3,Digital_Business_Models,https://link.springer.com//content/pdf/10.1007%2F978-3-030-13005-3.pdf
Introduction to Logic Circuits & Logic Design with Verilog,Brock J. LaMeres,2nd ed.2019,http://link.springer.com/openurl?genre=book&isbn=978-3-030-13605-5,Introduction_to_Logic_Circuits_&_Logic_Design_with_Verilog,https://link.springer.com//content/pdf/10.1007%2F978-3-030-13605-5.pdf
Pharmaceutical Biotechnology,"Daan J. A. Crommelin, Robert D.Sindelar, Bernd Meibohm",5th ed.2019,http://link.springer.com/openurl?genre=book&isbn=978-3-030-00710-2,Pharmaceutical_Biotechnology,https://link.springer.com//content/pdf/10.1007%2F978-3-030-00710-2.pdf
Mapping Global Theatre Histories,Mark Pizzato,1st ed.2019,http://link.springer.com/openurl?genre=book&isbn=978-3-030-12727-5,Mapping_Global_Theatre_Histories,https://link.springer.com//content/pdf/10.1007%2F978-3-030-12727-5.pdf
Social Marketing in Action,"Debra Z. Basil, Gonzalo Diaz-Meneses,Michael D. Basil",1st ed.2019,http://link.springer.com/openurl?genre=book&isbn=978-3-030-13020-6,Social_Marketing_in_Action,https://link.springer.com//content/pdf/10.1007%2F978-3-030-13020-6.pdf
Analyzing Qualitative Data with MAXQDA,"Udo Kuckartz, Stefan Rädiker",1st ed.2019,http://link.springer.com/openurl?genre=book&isbn=978-3-030-15671-8,Analyzing_Qualitative_Data_with_MAXQDA,https://link.springer.com//content/pdf/10.1007%2F978-3-030-15671-8.pdf
Handbook of Evolutionary Research in Archaeology,Anna Marie Prentiss,1st ed.2019,http://link.springer.com/openurl?genre=book&isbn=978-3-030-11117-5,Handbook_of_Evolutionary_Research_in_Archaeology,https://link.springer.com//content/pdf/10.1007%2F978-3-030-11117-5.pdf
Evidence-Based Practice in Clinical Social Work,"James W. Drisko, Melissa D. Grady",2nd ed.2019,http://link.springer.com/openurl?genre=book&isbn=978-3-030-15224-6,Evidence-Based_Practice_in_Clinical_Social_Work,https://link.springer.com//content/pdf/10.1007%2F978-3-030-15224-6.pdf
Managing Media and Digital Organizations,Eli M. Noam,1st ed.2019,http://link.springer.com/openurl?genre=book&isbn=978-3-319-71288-8,Managing_Media_and_Digital_Organizations,https://link.springer.com//content/pdf/10.1007%2F978-3-319-71288-8.pdf
Foundations of Behavioral Health,"Bruce Lubotsky Levin, Ardis Hanson",2020,http://link.springer.com/openurl?genre=book&isbn=978-3-030-18435-3,Foundations_of_Behavioral_Health,https://link.springer.com//content/pdf/10.1007%2F978-3-030-18435-3.pdf
Social Psychology in Action,"Kai Sassenberg, Michael L.W. Vliek",2019,http://link.springer.com/openurl?genre=book&isbn=978-3-030-13788-5,Social_Psychology_in_Action,https://link.springer.com//content/pdf/10.1007%2F978-3-030-13788-5.pdf
Essentials of Business Analytics,Seshadri,2019,http://link.springer.com/openurl?genre=book&isbn=978-3-319-68837-4,Essentials_of_Business_Analytics,https://link.springer.com//content/pdf/10.1007%2F978-3-319-68837-4.pdf
A Course in Rasch Measurement Theory,"David Andrich, Ida Marais",2019,http://link.springer.com/openurl?genre=book&isbn=978-981-13-7496-8,A_Course_in_Rasch_Measurement_Theory,https://link.springer.com//content/pdf/10.1007%2F978-981-13-7496-8.pdf
Multimedia Big Data Computing for IoT Applications,Neeraj Kumar,2020,http://link.springer.com/openurl?genre=book&isbn=978-981-13-8759-3,Multimedia_Big_Data_Computing_for_IoT_Applications,https://link.springer.com//content/pdf/10.1007%2F978-981-13-8759-3.pdf
Policing and Minority Communities,Perry Stanislas,2019,http://link.springer.com/openurl?genre=book&isbn=978-3-030-19182-5,Policing_and_Minority_Communities,https://link.springer.com//content/pdf/10.1007%2F978-3-030-19182-5.pdf
A Beginners Guide to Python 3 Programming,John Hunt,2019,http://link.springer.com/openurl?genre=book&isbn=978-3-030-20290-3,A_Beginners_Guide_to_Python_3_Programming,https://link.springer.com//content/pdf/10.1007%2F978-3-030-20290-3.pdf
Advanced Guide to Python 3 Programming,John Hunt,2019,http://link.springer.com/openurl?genre=book&isbn=978-3-030-25943-3,Advanced_Guide_to_Python_3_Programming,https://link.springer.com//content/pdf/10.1007%2F978-3-030-25943-3.pdf
Literature and Medicine,"Ronald Schleifer, Jerry B. Vannatta",2019,http://link.springer.com/openurl?genre=book&isbn=978-3-030-19128-3,Literature_and_Medicine,https://link.springer.com//content/pdf/10.1007%2F978-3-030-19128-3.pdf
Food Fraud Prevention,John W. Spink,2019,http://link.springer.com/openurl?genre=book&isbn=978-1-4939-9621-6,Food_Fraud_Prevention,https://link.springer.com//content/pdf/10.1007%2F978-1-4939-9621-6.pdf
